Spec., Epochs, Batch Size, Learning Rate, No. of Clauses, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Skolem Function Vector, Result, Time, Final Loss, Loss Drop, Accuracy
sample3.v, 4, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 0.8289539813995361, 0.6689639054478792, 1.4836054651876318, 1.0
sample3.v, 6, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 0.9873652458190918, 0.5838311262946672, 1.3896823533354412, 1.0
sample3.v, 4, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 0.7440109252929688, 0.6455107863400249, 1.3567735491836932, 1.0
sample3.v, 8, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 1.1629133224487305, 0.6158114854264707, 1.463608073594363, 1.0
sample3.v, 5, 1, 0.5, 2, 3, 1, 0, (i0 | ~i2) & (i1 | ~i2), Valid, 0.9149012565612793, 0.703192736677489, 1.3258145110802146, 1.0
sample4.v, 55, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i0 | ~i0 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 5.300451278686523, 0.48304256331365897, 0.06432072200172795, 1.0
sample4.v, 125, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (i1 | ~i0 | ~i1 | ~i2) & (~i0 | ~i1 | ~i2), Valid, 12.489810943603516, 0.3293752421356463, 0.2191065812237697, 1.0
sample4.v, 104, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 10.349211692810059, 0.2475972242785394, 0.2900321658822601, 1.0
sample4.v, 48, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i0) & (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 4.377718687057495, 0.4966570326072966, 0.04503342098203028, 1.0
sample4.v, 102, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0 | ~i2) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 10.25373888015747, 0.37069032748430386, 0.16999886058412006, 1.0
sample4.v, 295, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 37.77167510986328, 0.22033466866819498, 0.31018870365400375, 1.0
