Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result
10, 2, 1, {1: '(i_0 | ~i_0)\n'}, Valid
10, 2, 0, empty string, Invalid
10, 2, 0, empty string, Invalid
10, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 2, 3, {1: '(i_0 | ~i_0)\n'}, Valid
10, 2, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
-,-,-,-,-
10, 3, 4, {1: '(~i_0)\n'}, Valid
10, 3, 2, {1: '(~i_0)\n'}, Valid
10, 3, 0, empty string, Invalid
10, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 3, 0, empty string, Invalid
10, 3, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 3, 0, {1: '(~i_0)\n'}, Valid
10, 3, 0, {1: '(~i_0)\n'}, Valid
10, 3, 1, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
10, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 4, 2, {1: '(i_0 | ~i_0)\n'}, Valid
10, 4, 0, empty string, Invalid
10, 4, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 4, 0, {1: '(~i_0)\n'}, Valid
10, 4, 0, {1: '(~i_0)\n'}, Valid
10, 4, 0, empty string, Invalid
10, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
-,-,-,-,-
10, 5, 3, {1: '(i_0 | ~i_0)\n'}, Valid
10, 5, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 5, 0, empty string, Invalid
10, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 5, 3, {1: '(~i_0)\n'}, Valid
10, 5, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 5, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 5, 1, {1: '(~i_0)\n'}, Valid
