Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result, Time
50, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.6544857025146484
50, 5, 3, {1: '(~i_0)\n'}, Valid, 0.6694145202636719
50, 5, 0, empty string, Invalid, 0.41837620735168457
50, 5, 3, {1: '(~i_0)\n'}, Valid, 0.8445854187011719
50, 5, 0, {1: '(~i_0)\n'}, Valid, 0.6859338283538818
50, 5, 1, {1: '(~i_0)\n'}, Valid, 0.12001705169677734
50, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7495543956756592
-,-,-,-,-
50, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.41466522216796875
50, 10, 3, {1: '(~i_0)\n'}, Valid, 0.918480634689331
50, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.1246483325958252
50, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7388341426849365
50, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7465412616729736
50, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.739579439163208
50, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.791701078414917
50, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.743830680847168
50, 10, 0, empty string, Invalid, 0.41521787643432617
50, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7385158538818359
-,-,-,-,-
50, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 55.321776151657104
-,-,-,-,-
100, 1, 0, empty string, Invalid, 0.4839048385620117
100, 1, 0, empty string, Invalid, 0.473421573638916
100, 1, 0, empty string, Invalid, 0.40081286430358887
100, 1, 0, empty string, Invalid, 0.47405099868774414
100, 1, 10, {1: '(~i_0)\n'}, Valid, 3.4931843280792236
100, 1, 0, empty string, Invalid, 0.46949005126953125
100, 1, 4, {1: '(~i_0)\n'}, Valid, 1.3167617321014404
100, 1, 0, empty string, Invalid, 0.46936655044555664
100, 1, 3, {1: '(~i_0)\n'}, Valid, 0.8342289924621582
100, 1, 0, {1: '(~i_0)\n'}, Valid, 0.7453665733337402
-,-,-,-,-
100, 2, 0, empty string, Invalid, 0.47339320182800293
100, 2, 2, {1: '(~i_0)\n'}, Valid, 0.5165262222290039
100, 2, 0, empty string, Invalid, 0.49190640449523926
100, 2, 0, {1: '(~i_0)\n'}, Valid, 0.7409133911132812
100, 2, 0, empty string, Invalid, 0.4673652648925781
100, 2, 0, empty string, Invalid, 0.4706721305847168
100, 2, 0, empty string, Invalid, 0.4181644916534424
100, 2, 0, empty string, Invalid, 0.5059516429901123
100, 2, 0, empty string, Invalid, 0.473085880279541
100, 2, 0, empty string, Invalid, 0.4787256717681885
-,-,-,-,-
100, 3, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.3289306163787842
100, 3, 0, empty string, Invalid, 0.47692012786865234
100, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.8465030193328857
100, 3, 2, {1: '(~i_0)\n'}, Valid, 0.8477981090545654
100, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.8185012340545654
100, 3, 5, {1: '(~i_0)\n'}, Valid, 2.5042953491210938
100, 3, 7, {1: '(~i_0)\n'}, Valid, 3.028636932373047
100, 3, 0, empty string, Invalid, 0.47249293327331543
100, 3, 0, {1: '(~i_0)\n'}, Valid, 0.762120246887207
100, 3, 0, empty string, Invalid, 0.46972107887268066
-,-,-,-,-
100, 4, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.1741185188293457
100, 4, 0, empty string, Invalid, 0.508373498916626
100, 4, 2, {1: '(~i_0)\n'}, Valid, 0.6382462978363037
100, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.8956165313720703
100, 4, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.8284964561462402
100, 4, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7993414402008057
100, 4, 7, {1: '(~i_0)\n'}, Valid, 2.6781020164489746
100, 4, 0, {1: '(~i_0)\n'}, Valid, 0.668236494064331
100, 4, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 2.538689374923706
100, 4, 0, empty string, Invalid, 0.4874703884124756
-,-,-,-,-
100, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.805091381072998
100, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.8474841117858887
100, 5, 0, empty string, Invalid, 0.4277026653289795
100, 5, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.2826848030090332
100, 5, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 1.107900857925415
100, 5, 0, {1: '(~i_0)\n'}, Valid, 0.7437913417816162
100, 5, 2, {1: '(~i_0)\n'}, Valid, 0.6288270950317383
100, 5, 0, {1: '(~i_0)\n'}, Valid, 0.7587692737579346
100, 5, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 2.2708845138549805
100, 5, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.848243236541748
-,-,-,-,-
100, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7831976413726807
100, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.8605122566223145
100, 10, 8, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 3.451718807220459
100, 10, 7, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 2.9477903842926025
100, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.505218505859375
100, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.37595582008361816
100, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.7142677307128906
100, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 0.45590806007385254
100, 10, 6, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 2.4958488941192627
100, 10, 8, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid, 3.5426933765411377
-,-,-,-,-
100, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 78.90083742141724
100, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded, 73.58658242225647
-,-,-,-,-
